Title,Publication Year,Publication Venue,System NO.,Configuration,Role,Interaction,Application Domain,Relationship,Proxemics,Dynamics
"Demo: BreathCoach: A Smart In-home Breathing Training System with Bio-Feedback via VR Game. <a href=""https://dl.acm.org/doi/abs/10.1145/3267305.3267582"">Click</a>",2018,Ubicomp,76,N-Wise,Data Collector,Other,In-home Breathing Training System,Single user,Near,Semi-fixed
"Ubicoustics: Plug-and-Play Acoustic Activity Recognition. <a href=""https://dl.acm.org/doi/abs/10.1145/3242587.3242609"">Click</a>",2018,UIST,77,N-Wise,Data Collector,Other,\,Single user,Personal / Social,Mobile
"WatchSense: On- and Above-Skin Input Sensing through a Wearable Depth Sensor. <a href=""https://dl.acm.org/doi/abs/10.1145/3025453.3026005"">Click</a>",2017,CHI,78,Pairwise,Input Device,Interaction,Image Exploration; Joystick-based game,Single user,Room / Public,Semi-fixed
"Virtual Reality Meets Smartwatch –Intuitive, Natural, and Multi-Modal Interaction. <a href=""https://dl.acm.org/doi/abs/10.1145/3027063.3053194"">Click</a>",2017,CHI,79,Pairwise,Input Device,Interaction,\,Single user,Near,Mobile
"DeformWear: Deformation Input on Tiny Wearable Devices. <a href=""https://dl.acm.org/doi/10.1145/3090093"">Click</a>",2017,Ubicomp,80,Pairwise,Central Device,Interaction,Map control ,Single user,Near,Mobile
"Exploring Context-Aware User Interfaces for Smartphone-Smartwatch Cross-Device Interaction. <a href=""https://dl.acm.org/doi/10.1145/3130934"">Click</a>",2017,Ubicomp,81,Pairwise,Data Collector & Extended Screen,Viewing / Sensing,Reading; Map viewing; Notification filtering,Single user,Near,Mobile
"SoundTrak: Continuous 3D Tracking of a Finger Using Active Acoustics. <a href=""https://dl.acm.org/doi/10.1145/3090095"">Click</a>",2017,Ubicomp,82,Pairwise,Central Device,Interaction,Drawing,Single user,Near,Mobile
"SoundCraft: Enabling Spatial Interactions on Smartwatches using Hand Generated Acoustics. <a href=""https://dl.acm.org/doi/10.1145/3126594.3126612"">Click</a>",2017,UIST,83,Pairwise,Data Collector,Other,3D model exploration; Multi-user game,Single user,Personal / Social,Semi-fixed
"Typing on a Smartwatch for Smart Glasses. <a href=""https://dl.acm.org/doi/abs/10.1145/3132272.3134136"">Click</a>",2017,ISS,84,Pairwise,Input Device,Interaction,\,Single user,Near,Mobile
"Smart Home Control using Motion Matching and Smart Watches. <a href=""https://dl.acm.org/doi/abs/10.1145/3132272.3132283"">Click</a>",2017,ISS,85,N-Wise,Input Device,Interaction,Smart home control,Single user,Room / Public,Semi-fixed
